run_id,run_name,model,hidden_dim,epochs,lr,layer_index,layer_type,normalization,aggregation,accuracy,macro_f1,weighted_f1,inference_time,peak_memory,max_allocated,max_reserved
largev1_mean-28layers_2026-06-26_12-38-35,largev1_mean-28layers,large-v1,128,30,0.001,28,28 layers,True,mean,0.9593560726809052,0.9480619795013244,0.9560947107246988,0.2516214985478048,2276.54833984375,2276.54833984375,2378.0
largev1_mean-29layers_2026-06-26_18-48-59,largev1_mean-29layers,large-v1,128,30,0.001,29,29 layers,True,mean,0.964137711189034,0.9579100322575396,0.962685393706239,0.2557779291334252,2353.78271484375,2353.78271484375,2450.0
largev1_mean-30layers_2026-06-27_01-07-18,largev1_mean-30layers,large-v1,128,30,0.001,30,30 layers,True,mean,0.9700350653490596,0.9683901679137804,0.9698322899650328,0.2619915436177204,2430.66552734375,2430.66552734375,2512.0
largev1_mean-31layers_2026-06-27_07-34-16,largev1_mean-31layers,large-v1,128,30,0.001,31,31 layers,True,mean,0.95292742535331,0.9295262122376724,0.944410268733741,0.2683769397980844,2507.72412109375,2507.72412109375,2614.0
medium_mean-15layers_2026-06-27_21-29-52,medium_mean-15layers,medium,128,30,0.001,15,15 layers,True,mean,0.972532143236638,0.9728090479738666,0.9725534456997792,0.1506248364147419,814.41552734375,814.41552734375,874.0
medium_mean-17layers_2026-06-28_01-19-10,medium_mean-17layers,medium,128,30,0.001,17,17 layers,True,mean,0.9741260227393476,0.9747493329414784,0.9741384684288686,0.1616281882316495,910.10302734375,910.10302734375,946.0
medium_mean-18layers_2026-06-28_05-15-26,medium_mean-18layers,medium,128,30,0.001,18,18 layers,True,mean,0.9737541175220488,0.9742064805943436,0.9737541435240208,0.1660118977927292,958.27490234375,958.27490234375,1020.0
medium_mean-19layers_2026-06-28_09-18-47,medium_mean-19layers,medium,128,30,0.001,19,19 layers,True,mean,0.9740728934225906,0.9747505488473936,0.9740575822254918,0.1706244204193353,1006.60302734375,1006.60302734375,1066.0
medium_mean-21layers_2026-06-28_17-46-13,medium_mean-21layers,medium,128,30,0.001,21,21 layers,True,mean,0.9741791520561046,0.9747308078426568,0.9741624982276144,0.1817396704883625,1102.29052734375,1102.29052734375,1138.0
medium_mean-22layers_2026-06-28_22-09-44,medium_mean-22layers,medium,128,30,0.001,22,22 layers,True,mean,0.9648283923068748,0.9602048438578024,0.9639982994140556,0.1857766307269533,1150.46240234375,1150.46240234375,1212.0
medium_mean-23layers_2026-06-29_02-40-45,medium_mean-23layers,medium,128,30,0.001,23,23 layers,True,mean,0.9709913930506854,0.9703641225913142,0.9708730477561764,0.1898388274634878,1198.79052734375,1198.79052734375,1258.0
large_mean-full_2026-06-29_19-15-11,large_mean-full,large-v1,128,30,0.001,32,32 layers,True,mean,0.9539368823716927,0.9305563206963784,0.9454743524184469,,,,
large_mean-16layers_2026-06-29_20-13-50,large_mean-16layers,large-v1,128,30,0.001,16,16 layers,True,mean,0.7174582934863457,0.6994454441771333,0.701943747527468,,,,
